Type,Amount,Date,Time,AM/PM,Description,Plaza,Bridge,Lane,Direction,Transponder,Plate,
Payment,$20.00,6/14/2021,9:25:09,PM,Visa2017Ex12/2022,,,,,,,
Payment,$20.00,5/14/2021,10:45:06,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,4/22/2021,8:25:07,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,4/6/2021,11:15:05,AM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,3/18/2021,3:45:08,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,3/11/2021,1:05:13,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,2/23/2021,6:25:08,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,1/25/2021,1:25:06,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,1/9/2021,7:15:06,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,12/6/2020,3:55:12,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,11/13/2020,7:05:07,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,11/2/2020,10:25:21,AM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,10/13/2020,2:35:13,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,9/25/2020,8:55:08,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,7/29/2020,4:23:22,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,6/26/2020,2:51:19,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,6/3/2020,5:51:46,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,3/4/2020,4:40:22,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,1/30/2020,5:53:15,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,1/8/2020,3:45:56,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,12/23/2019,12:50:24,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,11/26/2019,6:21:12,PM,Visa3608Ex06/2021,,,,,,,
Payment,$20.00,10/23/2019,7:43:00,PM,Visa3608Ex06/2021,,,,,,,
Toll,$2.40,9/23/2022,3:12:11,PM,LocalTransaction,2,EastEndCrossing,-,NB,6712755,,
Toll,$2.40,9/21/2022,3:53:13,PM,LocalTransaction,3,EastEndCrossing,-,NB,6712755,,
Toll,$2.40,9/21/2022,11:33:02,AM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,9/9/2022,5:12:22,PM,LocalTransaction,2,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,9/9/2022,3:18:00,PM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,9/9/2022,1:48:17,PM,LocalTransaction,3,LincolnBridge,-,NB,6712755,,
Toll,$2.40,9/9/2022,12:51:30,PM,vTollTransaction,5,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,9/8/2022,4:08:08,PM,vTollTransaction,4,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,9/8/2022,1:38:02,PM,vTollTransaction,6,LincolnBridge,-,NB,,825ZYS,
Toll,$2.40,9/8/2022,1:28:42,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,9/8/2022,11:32:34,AM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,9/8/2022,7:40:26,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,9/7/2022,4:41:40,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,9/7/2022,7:49:12,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,9/6/2022,4:47:04,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,9/6/2022,1:28:13,PM,LocalTransaction,4,LincolnBridge,-,NB,6712755,,
Toll,$2.40,9/6/2022,9:55:01,AM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,9/6/2022,7:37:09,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,9/5/2022,4:28:32,PM,vTollTransaction,2,EastEndCrossing,-,NB,,825ZYS,
Toll,$2.40,9/5/2022,1:06:45,PM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,9/2/2022,4:15:17,PM,LocalTransaction,2,EastEndCrossing,-,NB,6712755,,
Toll,$2.40,9/2/2022,2:50:18,PM,LocalTransaction,6,KennedyBridge,-,SB,6712755,,
Toll,$2.40,9/1/2022,4:49:37,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,9/1/2022,7:46:19,AM,LocalTransaction,2,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/30/2022,5:09:13,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/30/2022,7:41:45,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/29/2022,5:43:24,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/29/2022,12:28:55,PM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,8/29/2022,8:04:57,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
Toll,$2.40,8/27/2022,12:58:41,PM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,8/26/2022,11:38:46,AM,LocalTransaction,2,KennedyBridge,-,SB,6712755,,
Toll,$2.40,8/25/2022,4:49:29,PM,LocalTransaction,3,EastEndCrossing,-,NB,7020623,,
Toll,$2.40,8/25/2022,3:51:22,PM,LocalTransaction,2,LincolnBridge,-,NB-Exit0,6712755,,
Toll,$2.40,8/25/2022,2:26:29,PM,vTollTransaction,2,KennedyBridge,-,SB,,825ZYS,
Toll,$2.40,8/25/2022,7:50:49,AM,LocalTransaction,3,EastEndCrossing,-,SB,7020623,,
